id,sku,name,slug,short_desc,description,long_description,specifications,features,category_id,unit_price,currency,stock_quantity,lead_time_days,weight_kg,dimensions,image_url,product_type,manufacturer,warranty_months,moq,is_active,is_featured,created_at,updated_at
11,HYD-0011,"Hydraulic Reservoir Tank 2000L",hydraulic-reservoir-tank-2000l,"Professional grade Hydraulic Reservoir Tank 2000L","Industrial Hydraulic Reservoir Tank 2000L designed for extreme conditions.","","","",4,375787.00,EUR,5,14,500,"200x200x200",/assets/images/hydraulic-reservoir-tank-2000l/hydraulic-reservoir-tank-2000l-1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
12,SER-0012,"Servo Hydraulic Control System",servo-hydraulic-control-system,"Professional grade Servo Hydraulic Control System","Industrial Servo Hydraulic Control System designed for extreme conditions.","","","",4,406534.00,EUR,5,14,500,"200x200x200",/assets/images/servo-hydraulic-control-system/servo-hydraulic-control-system-1.webp,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
13,HYD-0013,"Hydraulic Test Bench 500 Bar",hydraulic-test-bench-500-bar,"Professional grade Hydraulic Test Bench 500 Bar","Industrial Hydraulic Test Bench 500 Bar designed for extreme conditions.","","","",4,57559.00,EUR,5,14,500,"200x200x200",/assets/images/hydraulic-test-bench-500-bar/hydraulic-test-bench-500-bar-1.webp,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
14,PRE-0014,"Pressure Intensifier 1:10",pressure-intensifier-110,"Professional grade Pressure Intensifier 1:10","Industrial Pressure Intensifier 1:10 designed for extreme conditions.","","","",2,5445.00,EUR,5,14,500,"200x200x200",/assets/images/pressure-intensifier-1-10/pressure-intensifier-1-10-1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
15,HYD-0015,"Hydraulic Clamping System",hydraulic-clamping-system,"Professional grade Hydraulic Clamping System","Industrial Hydraulic Clamping System designed for extreme conditions.","","","",4,402301.00,EUR,5,14,500,"200x200x200",/assets/images/hydraulic-clamping-system/hydraulic-clamping-system-1.webp,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
16,TRI-0016,"Triplex Mud Pump 2500 HP",triplex-mud-pump-2500-hp,"Professional grade Triplex Mud Pump 2500 HP","Industrial Triplex Mud Pump 2500 HP designed for extreme conditions.","","","",3,65257.00,EUR,5,14,500,"200x200x200",/assets/images/triplex-mud-pump-2500-hp/1.webp,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
17,TOP-0017,"Top Drive System 750-Ton",top-drive-system-750-ton,"Professional grade Top Drive System 750-Ton","Industrial Top Drive System 750-Ton designed for extreme conditions.","","","",2,99857.00,EUR,5,14,500,"200x200x200",/assets/images/top-drive-system-750-ton/2.jpg,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
18,ROT-0018,"Rotary Table 49.5" 3000 HP",rotary-table-49-5-3000-hp,"Professional grade Rotary Table 49.5" 3000 HP","Industrial Rotary Table 49.5" 3000 HP designed for extreme conditions.","","","",3,81629.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
19,DRA-0019,"Drawworks 3000 HP",drawworks-3000-hp,"Professional grade Drawworks 3000 HP","Industrial Drawworks 3000 HP designed for extreme conditions.","","","",3,442029.00,EUR,5,14,500,"200x200x200",/assets/images/drawworks-3000-hp/1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
20,DRI-0020,"Drilling Swivel 500-Ton",drilling-swivel-500-ton,"Professional grade Drilling Swivel 500-Ton","Industrial Drilling Swivel 500-Ton designed for extreme conditions.","","","",3,3731.00,EUR,5,14,500,"200x200x200",/assets/images/drilling-swivel-500-ton/1.webp,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
21,HEX-0021,"Hexagonal Kelly 5.25"",hexagonal-kelly-5-25,"Professional grade Hexagonal Kelly 5.25"","Industrial Hexagonal Kelly 5.25" designed for extreme conditions.","","","",2,56063.00,EUR,5,14,500,"200x200x200",/assets/images/hexagonal-kelly/1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
22,ROT-0022,"Rotary Slips 500-Ton",rotary-slips-500-ton,"Professional grade Rotary Slips 500-Ton","Industrial Rotary Slips 500-Ton designed for extreme conditions.","","","",3,278029.00,EUR,5,14,500,"200x200x200",/assets/images/rotary-slips-500-ton/1.jpg,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
23,DRI-0023,"Drill Pipe Elevator 500-Ton",drill-pipe-elevator-500-ton,"Professional grade Drill Pipe Elevator 500-Ton","Industrial Drill Pipe Elevator 500-Ton designed for extreme conditions.","","","",3,142421.00,EUR,5,14,500,"200x200x200",/assets/images/drill-pipe-elevator-500-ton/1.jpg,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
24,POW-0024,"Power Tong 150K ft-lb",power-tong-150k-ft-lb,"Professional grade Power Tong 150K ft-lb","Industrial Power Tong 150K ft-lb designed for extreme conditions.","","","",2,243789.00,EUR,5,14,500,"200x200x200",/assets/images/power-tong-150k-ft-lb/1.jpg,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
25,IRO-0025,"Iron Roughneck Complete",iron-roughneck-complete,"Professional grade Iron Roughneck Complete","Industrial Iron Roughneck Complete designed for extreme conditions.","","","",2,403014.00,EUR,5,14,500,"200x200x200",/assets/images/iron-roughneck-complete/1.jpg,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
26,SHA-0026,"Shale Shaker 4-Panel",shale-shaker-4-panel,"Professional grade Shale Shaker 4-Panel","Industrial Shale Shaker 4-Panel designed for extreme conditions.","","","",2,263324.00,EUR,5,14,500,"200x200x200",/assets/images/shale-shaker-4-panel/1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
27,VAC-0027,"Vacuum Degasser 1500 GPM",vacuum-degasser-1500-gpm,"Professional grade Vacuum Degasser 1500 GPM","Industrial Vacuum Degasser 1500 GPM designed for extreme conditions.","","","",2,266701.00,EUR,5,14,500,"200x200x200",/assets/images/vacuum-degasser-1500-gpm/1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
28,DEC-0028,"Decanting Centrifuge 14"",decanting-centrifuge-14,"Professional grade Decanting Centrifuge 14"","Industrial Decanting Centrifuge 14" designed for extreme conditions.","","","",2,27883.00,EUR,5,14,500,"200x200x200",/assets/images/decanting-centrifuge-14/1.jpg,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
29,HYD-0029,"Hydrocyclone Desander 12"",hydrocyclone-desander-12,"Professional grade Hydrocyclone Desander 12"","Industrial Hydrocyclone Desander 12" designed for extreme conditions.","","","",2,107133.00,EUR,5,14,500,"200x200x200",/assets/images/hydrocyclone-desander-12/1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
30,MUD-0030,"Mud Mixing System Complete",mud-mixing-system-complete,"Professional grade Mud Mixing System Complete","Industrial Mud Mixing System Complete designed for extreme conditions.","","","",3,3482.00,EUR,5,14,500,"200x200x200",/assets/images/mud-mixing-system-complete/1.jpg,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
31,TRU-0031,"Trunnion Ball Valve 36" Class 600",trunnion-ball-valve-36-class-600,"Professional grade Trunnion Ball Valve 36" Class 600","Industrial Trunnion Ball Valve 36" Class 600 designed for extreme conditions.","","","",1,402530.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
32,PIP-0032,"Pipeline Pig Launcher 48"",pipeline-pig-launcher-48,"Professional grade Pipeline Pig Launcher 48"","Industrial Pipeline Pig Launcher 48" designed for extreme conditions.","","","",1,75185.00,EUR,5,14,500,"200x200x200",/assets/images/pipeline-pig-launcher-48/1.jpg,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
33,PIP-0033,"Pipeline Pig Receiver 48"",pipeline-pig-receiver-48,"Professional grade Pipeline Pig Receiver 48"","Industrial Pipeline Pig Receiver 48" designed for extreme conditions.","","","",1,195328.00,EUR,5,14,500,"200x200x200",/assets/images/pipeline-pig-receiver-48/1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
34,GAT-0034,"Gate Valve 24" Class 900",gate-valve-24-class-900,"Professional grade Gate Valve 24" Class 900","Industrial Gate Valve 24" Class 900 designed for extreme conditions.","","","",1,63144.00,EUR,5,14,500,"200x200x200",/assets/images/gate-valve-24-class-900/1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
35,SWI-0035,"Swing Check Valve 20"",swing-check-valve-20,"Professional grade Swing Check Valve 20"","Industrial Swing Check Valve 20" designed for extreme conditions.","","","",1,191015.00,EUR,5,14,500,"200x200x200",/assets/images/swing-check-valve-20/1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
36,PIP-0036,"Pipeline Repair Clamp 48"",pipeline-repair-clamp-48,"Professional grade Pipeline Repair Clamp 48"","Industrial Pipeline Repair Clamp 48" designed for extreme conditions.","","","",1,388066.00,EUR,5,14,500,"200x200x200",/assets/images/pipeline-repair-clamp-48/1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
37,WEL-0037,"Weld Neck Flange 36" Class 600",weld-neck-flange-36-class-600,"Professional grade Weld Neck Flange 36" Class 600","Industrial Weld Neck Flange 36" Class 600 designed for extreme conditions.","","","",1,24475.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
38,INS-0038,"Insulating Joint 24"",insulating-joint-24,"Professional grade Insulating Joint 24"","Industrial Insulating Joint 24" designed for extreme conditions.","","","",2,352968.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
39,EXP-0039,"Expansion Joint 20"",expansion-joint-20,"Professional grade Expansion Joint 20"","Industrial Expansion Joint 20" designed for extreme conditions.","","","",2,21698.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
40,BAR-0040,"Barred Tee 36" x 24"",barred-tee-36-x-24,"Professional grade Barred Tee 36" x 24"","Industrial Barred Tee 36" x 24" designed for extreme conditions.","","","",1,254547.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
41,CON-0041,"Concentric Reducer 36" x 30"",concentric-reducer-36-x-30,"Professional grade Concentric Reducer 36" x 30"","Industrial Concentric Reducer 36" x 30" designed for extreme conditions.","","","",2,411980.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
42,IND-0042,"Induction Bend 36" 3D",induction-bend-36-3d,"Professional grade Induction Bend 36" 3D","Industrial Induction Bend 36" 3D designed for extreme conditions.","","","",1,54264.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
43,OIL-0043,"Oil-Injected Screw Compressor 500 HP",oil-injected-screw-compressor-500-hp,"Professional grade Oil-Injected Screw Compressor 500 HP","Industrial Oil-Injected Screw Compressor 500 HP designed for extreme conditions.","","","",2,330331.00,EUR,5,14,500,"200x200x200",/assets/images/screw-compressor-500-hp/2.webp,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
44,REC-0044,"Reciprocating Gas Compressor 2000 HP",reciprocating-gas-compressor-2000-hp,"Professional grade Reciprocating Gas Compressor 2000 HP","Industrial Reciprocating Gas Compressor 2000 HP designed for extreme conditions.","","","",2,189177.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
45,CEN-0045,"Centrifugal Compressor 5000 HP",centrifugal-compressor-5000-hp,"Professional grade Centrifugal Compressor 5000 HP","Industrial Centrifugal Compressor 5000 HP designed for extreme conditions.","","","",2,300296.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
46,GAS-0046,"Gas Booster Compressor 1000 HP",gas-booster-compressor-1000-hp,"Professional grade Gas Booster Compressor 1000 HP","Industrial Gas Booster Compressor 1000 HP designed for extreme conditions.","","","",2,373065.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
47,VAP-0047,"Vapor Recovery Unit 500 HP",vapor-recovery-unit-500-hp,"Professional grade Vapor Recovery Unit 500 HP","Industrial Vapor Recovery Unit 500 HP designed for extreme conditions.","","","",2,231993.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
48,INS-0048,"Instrument Air Compressor 350 HP",instrument-air-compressor-350-hp,"Professional grade Instrument Air Compressor 350 HP","Industrial Instrument Air Compressor 350 HP designed for extreme conditions.","","","",2,184985.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
49,REF-0049,"Refrigeration Compressor Package",refrigeration-compressor-package,"Professional grade Refrigeration Compressor Package","Industrial Refrigeration Compressor Package designed for extreme conditions.","","","",2,14528.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
50,DIA-0050,"Diaphragm Compressor 100 HP",diaphragm-compressor-100-hp,"Professional grade Diaphragm Compressor 100 HP","Industrial Diaphragm Compressor 100 HP designed for extreme conditions.","","","",2,274487.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
51,SCR-0051,"Scroll Compressor Package 50 HP",scroll-compressor-package-50-hp,"Professional grade Scroll Compressor Package 50 HP","Industrial Scroll Compressor Package 50 HP designed for extreme conditions.","","","",2,258273.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
52,ROT-0052,"Rotary Lobe Blower 200 HP",rotary-lobe-blower-200-hp,"Professional grade Rotary Lobe Blower 200 HP","Industrial Rotary Lobe Blower 200 HP designed for extreme conditions.","","","",3,389332.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
53,LIQ-0053,"Liquid Ring Compressor 150 HP",liquid-ring-compressor-150-hp,"Professional grade Liquid Ring Compressor 150 HP","Industrial Liquid Ring Compressor 150 HP designed for extreme conditions.","","","",2,246631.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
54,COM-0054,"Compressor Package Skid Complete",compressor-package-skid-complete,"Professional grade Compressor Package Skid Complete","Industrial Compressor Package Skid Complete designed for extreme conditions.","","","",2,12945.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
55,API-0055,"API 610 Centrifugal Pump BB3",api-610-centrifugal-pump-bb3,"Professional grade API 610 Centrifugal Pump BB3","Industrial API 610 Centrifugal Pump BB3 designed for extreme conditions.","","","",2,171998.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
56,PRO-0056,"Progressive Cavity Pump 500 GPM",progressive-cavity-pump-500-gpm,"Professional grade Progressive Cavity Pump 500 GPM","Industrial Progressive Cavity Pump 500 GPM designed for extreme conditions.","","","",2,331711.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
57,API-0057,"API 674 Reciprocating Pump",api-674-reciprocating-pump,"Professional grade API 674 Reciprocating Pump","Industrial API 674 Reciprocating Pump designed for extreme conditions.","","","",2,338527.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
58,MUL-0058,"Multi-Stage Pump BB5",multi-stage-pump-bb5,"Professional grade Multi-Stage Pump BB5","Industrial Multi-Stage Pump BB5 designed for extreme conditions.","","","",2,249130.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
59,VER-0059,"Vertical Turbine Pump 2000 HP",vertical-turbine-pump-2000-hp,"Professional grade Vertical Turbine Pump 2000 HP","Industrial Vertical Turbine Pump 2000 HP designed for extreme conditions.","","","",2,10950.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
60,SUB-0060,"Submersible Pump System ESP",submersible-pump-system-esp,"Professional grade Submersible Pump System ESP","Industrial Submersible Pump System ESP designed for extreme conditions.","","","",2,419855.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
61,API-0061,"API 676 Gear Pump",api-676-gear-pump,"Professional grade API 676 Gear Pump","Industrial API 676 Gear Pump designed for extreme conditions.","","","",2,123152.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
62,AIR-0062,"Air-Operated Diaphragm Pump",air-operated-diaphragm-pump,"Professional grade Air-Operated Diaphragm Pump","Industrial Air-Operated Diaphragm Pump designed for extreme conditions.","","","",2,435916.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
63,PER-0063,"Peristaltic Hose Pump 100 GPM",peristaltic-hose-pump-100-gpm,"Professional grade Peristaltic Hose Pump 100 GPM","Industrial Peristaltic Hose Pump 100 GPM designed for extreme conditions.","","","",2,225043.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
64,MAG-0064,"Magnetic Drive Pump API 685",magnetic-drive-pump-api-685,"Professional grade Magnetic Drive Pump API 685","Industrial Magnetic Drive Pump API 685 designed for extreme conditions.","","","",2,163127.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:48,2026-04-27 09:22:48
65,FIR-0065,"Fire Water Pump Package",fire-water-pump-package,"Professional grade Fire Water Pump Package","Industrial Fire Water Pump Package designed for extreme conditions.","","","",2,408400.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
66,CHE-0066,"Chemical Injection Pump Skid",chemical-injection-pump-skid,"Professional grade Chemical Injection Pump Skid","Industrial Chemical Injection Pump Skid designed for extreme conditions.","","","",2,358860.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:48,2026-04-27 09:22:48
67,ANN-0067,"Annular BOP 13-5/8" 15K",annular-bop-13-5-8-15k,"Professional grade Annular BOP 13-5/8" 15K","Industrial Annular BOP 13-5/8" 15K designed for extreme conditions.","","","",3,274764.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
68,RAM-0068,"Ram BOP Stack 13-5/8" 15K Triple",ram-bop-stack-13-5-8-15k-triple,"Professional grade Ram BOP Stack 13-5/8" 15K Triple","Industrial Ram BOP Stack 13-5/8" 15K Triple designed for extreme conditions.","","","",3,152696.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
69,BOP-0069,"BOP Accumulator Unit 3000 PSI",bop-accumulator-unit-3000-psi,"Professional grade BOP Accumulator Unit 3000 PSI","Industrial BOP Accumulator Unit 3000 PSI designed for extreme conditions.","","","",3,80211.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
70,CHO-0070,"Choke Manifold 15K",choke-manifold-15k,"Professional grade Choke Manifold 15K","Industrial Choke Manifold 15K designed for extreme conditions.","","","",2,75020.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
71,DIV-0071,"Diverter System 30"",diverter-system-30,"Professional grade Diverter System 30"","Industrial Diverter System 30" designed for extreme conditions.","","","",2,346772.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
72,PRE-0072,"Pressure Safety Valve Set",pressure-safety-valve-set,"Professional grade Pressure Safety Valve Set","Industrial Pressure Safety Valve Set designed for extreme conditions.","","","",1,166026.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
73,RUP-0073,"Rupture Disc Assembly",rupture-disc-assembly,"Professional grade Rupture Disc Assembly","Industrial Rupture Disc Assembly designed for extreme conditions.","","","",2,435434.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
74,FLA-0074,"Flame Arrester Detonation",flame-arrester-detonation,"Professional grade Flame Arrester Detonation","Industrial Flame Arrester Detonation designed for extreme conditions.","","","",2,411891.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
75,EME-0075,"Emergency Shutdown Valve 12"",emergency-shutdown-valve-12,"Professional grade Emergency Shutdown Valve 12"","Industrial Emergency Shutdown Valve 12" designed for extreme conditions.","","","",1,424528.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
76,GAS-0076,"Gas Detection System Complete",gas-detection-system-complete,"Professional grade Gas Detection System Complete","Industrial Gas Detection System Complete designed for extreme conditions.","","","",2,191527.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
77,FIR-0077,"Fire Suppression System",fire-suppression-system,"Professional grade Fire Suppression System","Industrial Fire Suppression System designed for extreme conditions.","","","",2,191539.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
78,SCB-0078,"SCBA Breathing Apparatus Set",scba-breathing-apparatus-set,"Professional grade SCBA Breathing Apparatus Set","Industrial SCBA Breathing Apparatus Set designed for extreme conditions.","","","",2,385237.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
79,ULT-0079,"Ultrasonic Flow Meter 12" Custody",ultrasonic-flow-meter-12-custody,"Professional grade Ultrasonic Flow Meter 12" Custody","Industrial Ultrasonic Flow Meter 12" Custody designed for extreme conditions.","","","",5,42436.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
